X,Y,field_1,cat,x,y,z,slope,distance,label
-374709.550075521,779875.002769531,95,255,-374709.550075520994142,779875.002769530983642,250.000000000000000,0.250775500000000,623459.281427341164090,-1
-129715.112129771,779875.002769531,96,256,-129715.112129771005129,779875.002769530983642,75.000000000000000,0.000000000000000,483911.187232289405074,-1
295275.239408773,779875.002769531,97,257,295275.239408773020841,779875.002769530983642,65.000000000000000,0.231195700000000,216736.255803709151223,-1
-536705.872309036,778875.195369697,100,260,-536705.872309035970829,778875.195369696943089,189.000000000000000,0.355115000000000,738836.926594561664388,-1
-526706.099331659,778875.195369697,101,261,-526706.099331659032032,778875.195369696943089,226.000000000000000,0.265876200000000,731163.091003229375929,-1
-195713.613780463,778875.195369697,102,262,-195713.613780462997966,778875.195369696943089,75.000000000000000,0.000000000000000,517875.634804676461499,-1
-16717.6774854057,778875.195369697,103,263,-16717.677485405700281,778875.195369696943089,75.000000000000000,0.000000000000000,402533.332814801950008,-1
-775700.446468359,777875.387969862,104,264,-775700.446468358975835,777875.387969861971214,176.000000000000000,0.000000000000000,927356.269936466589570,-1
-464707.506871918,777875.387969862,105,265,-464707.506871917983517,777875.387969861971214,226.000000000000000,0.045298080000000,684238.709288442274556,-1
-200713.500269152,777875.387969862,106,266,-200713.500269151991233,777875.387969861971214,75.000000000000000,0.000000000000000,519692.789738068997394,-1
-185713.840803086,777875.387969862,107,267,-185713.840803086000960,777875.387969861971214,75.000000000000000,0.000000000000000,511801.248187382705510,-1
-158714.453764166,777875.387969862,108,268,-158714.453764166013571,777875.387969861971214,75.000000000000000,0.000000000000000,498419.828709476045333,-1
-154714.544573215,777875.387969862,109,269,-154714.544573215011042,777875.387969861971214,75.000000000000000,0.000000000000000,496531.595077553705778,-1
-582704.828004973,776875.580570027,113,273,-582704.828004973009229,776875.580570026999339,179.000000000000000,0.079121650000000,773605.672642972785980,-1
-283711.615981385,776875.580570027,114,274,-283711.615981384995393,776875.580570026999339,334.000000000000000,0.115505100000000,565754.330544132855721,-1
-257712.206240204,776875.580570027,115,275,-257712.206240203988273,776875.580570026999339,315.000000000000000,0.153285600000000,551580.248669345746748,-1
-824699.334057509,775875.773170193,120,280,-824699.334057508967817,775875.773170192958787,176.000000000000000,0.000000000000000,966564.722801938769408,-1
-674702.739396846,775875.773170193,121,281,-674702.739396846038289,775875.773170192958787,259.000000000000000,0.240767600000000,845872.312190564116463,-1
-453707.756596803,775875.773170193,122,282,-453707.756596803024877,775875.773170192958787,212.000000000000000,0.537192200000000,674901.709692283067852,-1
-213713.205139743,775875.773170193,123,283,-213713.205139742989559,775875.773170192958787,75.000000000000000,0.000000000000000,525118.502990319509991,-1
476271.130299306,775875.773170193,126,286,476271.130299306008965,775875.773170192958787,261.000000000000000,0.538389300000000,46114.701479870011099,-1
518270.176804291,775875.773170193,127,287,518270.176804291026201,775875.773170192958787,57.000000000000000,0.060777870000000,6412.309140924043277,-1
-759700.809704555,774875.965770358,128,288,-759700.809704554965720,774875.965770357986912,176.000000000000000,0.000000000000000,912612.076672482537106,-1
-334710.45816601,774875.965770358,129,289,-334710.458166009979323,774875.965770357986912,353.000000000000000,0.087145470000000,594173.466864422778599,-1
-292711.411661025,774875.965770358,131,291,-292711.411661025020294,774875.965770357986912,381.000000000000000,0.530231700000000,569188.032006478984840,-1
-251712.342453777,774875.965770358,132,292,-251712.342453777004266,774875.965770357986912,300.000000000000000,0.503705400000000,546352.358969587367028,-1
-391709.164137062,773876.158370524,134,294,-391709.164137061976362,773876.158370523946360,176.000000000000000,0.000000000000000,630237.839028240879998,-1
38281.0738901705,773876.158370524,135,295,38281.073890170497179,773876.158370523946360,75.000000000000000,0.429301500000000,363421.132128876401111,-1
292275.307515559,773876.158370524,137,297,292275.307515559019521,773876.158370523946360,61.000000000000000,0.028648540000000,218314.316732971259626,-1
322274.626447692,773876.158370524,138,298,322274.626447691989597,773876.158370523946360,366.000000000000000,0.520611000000000,189086.558180649793940,-1
437272.015687533,773876.158370524,139,299,437272.015687533013988,773876.158370523946360,90.000000000000000,0.168577400000000,79892.683123378810706,-1
-820699.424866557,772876.350970689,140,300,-820699.424866557004862,772876.350970688974485,176.000000000000000,0.000000000000000,961572.827086546109058,-1
-782700.287552523,772876.350970689,141,301,-782700.287552522961050,772876.350970688974485,176.000000000000000,0.000000000000000,930190.558184950845316,-1
-659703.07993078,772876.350970689,142,302,-659703.079930779989809,772876.350970688974485,268.000000000000000,0.087131460000000,832401.521169062238187,-1
-530706.00852261,772876.350970689,143,303,-530706.008522609947249,772876.350970688974485,228.000000000000000,0.335658200000000,730390.163558348664083,-1
-318710.821402206,772876.350970689,144,304,-318710.821402206027415,772876.350970688974485,367.000000000000000,0.103299100000000,582827.861295705544762,-1
-114715.452663705,772876.350970689,145,305,-114715.452663705000305,772876.350970688974485,75.000000000000000,0.000000000000000,467909.641018893453293,-1
88279.9387770582,772876.350970689,146,306,88279.938777058196138,772876.350970688974485,185.000000000000000,0.140714900000000,330401.430002015491482,-1
-827699.265950722,771876.543570854,150,310,-827699.265950722037815,771876.543570854002610,176.000000000000000,0.000000000000000,966854.792567410971969,-1
-669702.852908157,771876.543570854,151,311,-669702.852908157045022,771876.543570854002610,267.000000000000000,0.253260200000000,839470.221630175365135,-1
-609704.215043892,771876.543570854,152,312,-609704.215043892036192,771876.543570854002610,205.000000000000000,0.177182600000000,792300.101439285208471,-1
-408708.778198604,771876.543570854,153,313,-408708.778198604006320,771876.543570854002610,176.000000000000000,0.000000000000000,640347.731416291091591,-1
-352710.04952529,771876.543570854,154,314,-352710.049525289970916,771876.543570854002610,309.000000000000000,0.041767280000000,603146.279034616192803,-1
-73716.3834564575,771876.543570854,155,315,-73716.383456457493594,771876.543570854002610,75.000000000000000,0.000000000000000,436652.869690184248611,-1
45280.9149743349,771876.543570854,156,316,45280.914974334897124,771876.543570854002610,122.000000000000000,0.020259300000000,357190.739710367924999,-1
453271.652451337,771876.543570854,158,318,453271.652451337024104,771876.543570854002610,213.000000000000000,0.551607500000000,64211.548652173551091,-1
-646703.375060189,770876.73617102,160,320,-646703.375060189049691,770876.736171019962057,243.000000000000000,0.064068760000000,821166.559010314056650,-1
-163714.340252855,770876.73617102,161,321,-163714.340252855006838,770876.736171019962057,75.000000000000000,0.000000000000000,494698.025519520335365,-1
-46716.9964175383,770876.73617102,162,322,-46716.996417538299283,770876.736171019962057,75.000000000000000,0.000000000000000,416748.097028334101196,-1
-789700.128636687,769876.928771185,163,323,-789700.128636686946265,769876.928771184990183,176.000000000000000,0.000000000000000,934229.004009899217635,-1
-756700.877811341,769876.928771185,164,324,-756700.877811340964399,769876.928771184990183,201.000000000000000,0.686505200000000,907253.258738341159187,-1
